id_usuario,id_ativo,nome,sistema_operacional_e_versao
65,134,iPhone,iOS 17
65,135,Celular,Android 14
65,136,Notebook,Windows 10
66,137,iPhone,iOS 16
66,138,Celular,Android 14
66,139,iPhone,iOS 17
67,140,MacBook,macOS Ventura
68,141,iPhone,iOS 17
68,142,Servidor,Ubuntu 22.04
69,143,Celular,Android 14
70,144,MacBook,macOS Ventura
70,145,Servidor,Ubuntu 20.04
71,146,MacBook,macOS Ventura
71,147,MacBook,macOS Ventura
72,148,Servidor,Ubuntu 22.04
72,149,Notebook,Windows 10
72,150,Notebook,Windows 10
73,151,Servidor,Ubuntu 22.04
74,152,Servidor,Ubuntu 22.04
75,153,MacBook,macOS Ventura
75,154,MacBook,macOS Monterey
75,155,Celular,Android 14
76,156,MacBook,macOS Ventura
77,157,MacBook,macOS Monterey
77,158,iPhone,iOS 17
78,159,Celular,Android 14
78,160,Notebook,Windows 11
79,161,Servidor,Ubuntu 20.04
79,162,Notebook,Windows 11
80,163,Notebook,Windows 10
81,164,Celular,Android 13
81,165,Notebook,Windows 11
81,166,MacBook,macOS Monterey
82,167,Notebook,Windows 11
82,168,Notebook,Windows 11
83,169,iPhone,iOS 16
83,170,Celular,Android 13
83,171,Celular,Android 13
84,172,Notebook,Windows 11
84,173,Notebook,Windows 11
85,174,Celular,Android 13
85,175,MacBook,macOS Ventura
86,176,MacBook,macOS Monterey
86,177,iPhone,iOS 17
86,178,iPhone,iOS 16
87,179,Celular,Android 13
87,180,Notebook,Windows 10
87,181,Celular,Android 13
88,182,Servidor,Ubuntu 22.04
89,183,Celular,Android 14
89,184,Servidor,Ubuntu 20.04
89,185,MacBook,macOS Monterey
90,186,MacBook,macOS Ventura
91,187,Celular,Android 13
92,188,iPhone,iOS 17
92,189,MacBook,macOS Ventura
93,190,Notebook,Windows 11
93,191,Servidor,Ubuntu 20.04
94,192,Servidor,Ubuntu 20.04
94,193,MacBook,macOS Monterey
94,194,Servidor,Ubuntu 20.04
95,195,iPhone,iOS 17
95,196,MacBook,macOS Monterey
95,197,Notebook,Windows 11
96,198,Notebook,Windows 10
97,199,iPhone,iOS 16
97,200,Celular,Android 14
97,201,MacBook,macOS Monterey
98,202,Celular,Android 14
98,203,MacBook,macOS Monterey
99,204,Celular,Android 13
99,205,iPhone,iOS 17
99,206,MacBook,macOS Monterey
100,207,Servidor,Ubuntu 22.04
100,208,Celular,Android 13
101,209,Celular,Android 14
101,210,Servidor,Ubuntu 22.04
102,211,Servidor,Ubuntu 22.04
102,212,iPhone,iOS 17
103,213,Servidor,Ubuntu 20.04
103,214,Servidor,Ubuntu 20.04
103,215,Celular,Android 14
104,216,Notebook,Windows 11
104,217,MacBook,macOS Ventura
104,218,MacBook,macOS Ventura
105,219,Notebook,Windows 11
105,220,Notebook,Windows 10
106,221,Celular,Android 14
106,222,Notebook,Windows 11
107,223,Notebook,Windows 11
107,224,Celular,Android 13
108,225,Notebook,Windows 10
108,226,Servidor,Ubuntu 22.04
108,227,Notebook,Windows 10
109,228,iPhone,iOS 16
109,229,Celular,Android 13
109,230,Notebook,Windows 10
110,231,Notebook,Windows 11
110,232,Servidor,Ubuntu 22.04
110,233,iPhone,iOS 16
111,234,Servidor,Ubuntu 20.04
112,235,Notebook,Windows 10
112,236,MacBook,macOS Ventura
113,237,MacBook,macOS Ventura
113,238,Celular,Android 13
113,239,iPhone,iOS 17
114,240,Celular,Android 14
114,241,Notebook,Windows 10
114,242,iPhone,iOS 17
115,243,Servidor,Ubuntu 22.04
115,244,iPhone,iOS 17
115,245,Notebook,Windows 10
116,246,Celular,Android 14
117,247,Notebook,Windows 10
118,248,Servidor,Ubuntu 20.04
118,249,Notebook,Windows 11
119,250,Servidor,Ubuntu 22.04
120,251,Servidor,Ubuntu 22.04
120,252,Notebook,Windows 11
120,253,Celular,Android 14
121,254,iPhone,iOS 17
121,255,Celular,Android 13
121,256,Notebook,Windows 11
122,257,Servidor,Ubuntu 20.04
122,258,Servidor,Ubuntu 22.04
123,259,iPhone,iOS 17
124,260,Notebook,Windows 11
124,261,Servidor,Ubuntu 22.04
125,262,MacBook,macOS Monterey
126,263,MacBook,macOS Ventura
127,264,Celular,Android 14
128,265,Notebook,Windows 10
128,266,Celular,Android 14
129,267,Notebook,Windows 10
129,268,iPhone,iOS 17
130,269,iPhone,iOS 17
130,270,Notebook,Windows 11
130,271,MacBook,macOS Monterey
131,272,Servidor,Ubuntu 22.04
132,273,iPhone,iOS 16
132,274,iPhone,iOS 17
133,275,MacBook,macOS Ventura
133,276,iPhone,iOS 17
133,277,iPhone,iOS 17
134,278,Servidor,Ubuntu 20.04
134,279,Servidor,Ubuntu 20.04
134,280,MacBook,macOS Monterey
135,281,Celular,Android 14
135,282,MacBook,macOS Monterey
136,283,MacBook,macOS Ventura
136,284,Celular,Android 14
137,285,Notebook,Windows 10
137,286,MacBook,macOS Monterey
138,287,iPhone,iOS 16
139,288,Notebook,Windows 11
139,289,Notebook,Windows 10
140,290,iPhone,iOS 17
140,291,Servidor,Ubuntu 22.04
140,292,Notebook,Windows 10
141,293,Celular,Android 14
141,294,Servidor,Ubuntu 22.04
142,295,Servidor,Ubuntu 22.04
142,296,MacBook,macOS Ventura
143,297,Notebook,Windows 11
143,298,Celular,Android 14
144,299,MacBook,macOS Monterey
144,300,MacBook,macOS Ventura
145,301,iPhone,iOS 16
145,302,Notebook,Windows 11
146,303,iPhone,iOS 16
146,304,Servidor,Ubuntu 20.04
146,305,iPhone,iOS 16
147,306,Servidor,Ubuntu 22.04
147,307,iPhone,iOS 16
147,308,Servidor,Ubuntu 20.04
148,309,iPhone,iOS 16
149,310,iPhone,iOS 17
150,311,Servidor,Ubuntu 22.04
151,312,Notebook,Windows 11
151,313,iPhone,iOS 16
152,314,iPhone,iOS 16
152,315,Servidor,Ubuntu 20.04
152,316,MacBook,macOS Monterey
153,317,Notebook,Windows 11
154,318,MacBook,macOS Ventura
154,319,iPhone,iOS 17
154,320,Servidor,Ubuntu 20.04
155,321,Celular,Android 13
155,322,Celular,Android 13
156,323,iPhone,iOS 16
157,324,Celular,Android 13
157,325,Notebook,Windows 11
158,326,Servidor,Ubuntu 20.04
158,327,Celular,Android 13
159,328,Celular,Android 14
160,329,Notebook,Windows 10
161,330,MacBook,macOS Monterey
161,331,Celular,Android 14
161,332,MacBook,macOS Monterey
162,333,Servidor,Ubuntu 20.04
163,334,iPhone,iOS 17
164,335,Celular,Android 13
164,336,Notebook,Windows 11
164,337,Servidor,Ubuntu 20.04
165,338,Servidor,Ubuntu 20.04
166,339,Celular,Android 14
166,340,Servidor,Ubuntu 22.04
166,341,Celular,Android 13
167,342,Notebook,Windows 10
167,343,Notebook,Windows 10
167,344,Celular,Android 13
168,345,Servidor,Ubuntu 22.04
168,346,iPhone,iOS 16
168,347,Notebook,Windows 10
169,348,MacBook,macOS Ventura
169,349,Celular,Android 14
169,350,iPhone,iOS 16
170,351,Notebook,Windows 11
171,352,MacBook,macOS Ventura
171,353,Notebook,Windows 11
172,354,MacBook,macOS Ventura
173,355,Servidor,Ubuntu 22.04
173,356,MacBook,macOS Ventura
174,357,Notebook,Windows 11
174,358,Servidor,Ubuntu 20.04
175,359,Celular,Android 13
175,360,MacBook,macOS Ventura
176,361,MacBook,macOS Ventura
176,362,MacBook,macOS Monterey
177,363,Celular,Android 14
177,364,Servidor,Ubuntu 20.04
177,365,Celular,Android 13
178,366,iPhone,iOS 16
178,367,iPhone,iOS 16
179,368,Notebook,Windows 10
180,369,iPhone,iOS 16
180,370,Notebook,Windows 10
180,371,MacBook,macOS Ventura
181,372,Servidor,Ubuntu 20.04
181,373,MacBook,macOS Monterey
182,374,Servidor,Ubuntu 22.04
183,375,Celular,Android 13
183,376,iPhone,iOS 17
183,377,iPhone,iOS 17
184,378,iPhone,iOS 17
185,379,MacBook,macOS Monterey
185,380,iPhone,iOS 17
185,381,MacBook,macOS Monterey
186,382,MacBook,macOS Monterey
187,383,Servidor,Ubuntu 22.04
187,384,Celular,Android 14
188,385,Celular,Android 14
188,386,Celular,Android 14
188,387,iPhone,iOS 17
189,388,Celular,Android 14
189,389,iPhone,iOS 17
189,390,iPhone,iOS 16
190,391,MacBook,macOS Monterey
190,392,Celular,Android 14
191,393,Servidor,Ubuntu 22.04
191,394,Servidor,Ubuntu 20.04
191,395,iPhone,iOS 17
192,396,Servidor,Ubuntu 22.04
193,397,Celular,Android 13
193,398,Notebook,Windows 11
194,399,MacBook,macOS Monterey
194,400,iPhone,iOS 16
195,401,Notebook,Windows 10
195,402,Celular,Android 14
195,403,Servidor,Ubuntu 22.04
196,404,Servidor,Ubuntu 22.04
196,405,Notebook,Windows 11
197,406,Servidor,Ubuntu 20.04
197,407,Notebook,Windows 11
197,408,Celular,Android 14
198,409,Celular,Android 14
199,410,Servidor,Ubuntu 22.04
199,411,iPhone,iOS 17
199,412,Celular,Android 14
200,413,Servidor,Ubuntu 22.04
201,414,MacBook,macOS Ventura
202,415,iPhone,iOS 17
202,416,MacBook,macOS Monterey
202,417,Celular,Android 13
203,418,Servidor,Ubuntu 20.04
203,419,Celular,Android 13
204,420,MacBook,macOS Monterey
204,421,MacBook,macOS Ventura
204,422,Servidor,Ubuntu 20.04
205,423,Notebook,Windows 10
205,424,Notebook,Windows 11
205,425,Notebook,Windows 10
206,426,Celular,Android 13
206,427,MacBook,macOS Ventura
207,428,iPhone,iOS 17
208,429,Celular,Android 13
208,430,Notebook,Windows 10
209,431,iPhone,iOS 17
210,432,Notebook,Windows 11
210,433,Notebook,Windows 10
211,434,iPhone,iOS 16
211,435,Servidor,Ubuntu 22.04
211,436,Notebook,Windows 10
212,437,MacBook,macOS Ventura
212,438,iPhone,iOS 16
212,439,Celular,Android 14
213,440,Notebook,Windows 11
213,441,iPhone,iOS 16
213,442,Notebook,Windows 11
214,443,MacBook,macOS Ventura
214,444,Servidor,Ubuntu 20.04
215,445,iPhone,iOS 16
216,446,iPhone,iOS 17
216,447,MacBook,macOS Monterey
216,448,Servidor,Ubuntu 20.04
217,449,Notebook,Windows 11
217,450,Notebook,Windows 11
218,451,MacBook,macOS Ventura
218,452,Notebook,Windows 10
218,453,Celular,Android 14
219,454,Servidor,Ubuntu 22.04
220,455,Celular,Android 14
220,456,iPhone,iOS 17
221,457,Servidor,Ubuntu 20.04
221,458,iPhone,iOS 16
222,459,Servidor,Ubuntu 20.04
222,460,Notebook,Windows 10
222,461,iPhone,iOS 16
223,462,Celular,Android 13
223,463,Servidor,Ubuntu 22.04
223,464,MacBook,macOS Monterey
224,465,Notebook,Windows 10
224,466,Servidor,Ubuntu 20.04
225,467,Servidor,Ubuntu 22.04
226,468,Notebook,Windows 11
226,469,iPhone,iOS 17
227,470,Servidor,Ubuntu 22.04
227,471,Servidor,Ubuntu 20.04
228,472,Servidor,Ubuntu 22.04
229,473,MacBook,macOS Monterey
230,474,Notebook,Windows 10
231,475,Servidor,Ubuntu 20.04
231,476,Notebook,Windows 11
231,477,MacBook,macOS Ventura
232,478,MacBook,macOS Monterey
233,479,Servidor,Ubuntu 22.04
233,480,MacBook,macOS Monterey
234,481,MacBook,macOS Monterey
235,482,Notebook,Windows 10
236,483,Notebook,Windows 11
236,484,Servidor,Ubuntu 22.04
237,485,iPhone,iOS 17
237,486,Notebook,Windows 11
238,487,Celular,Android 14
239,488,Celular,Android 13
240,489,iPhone,iOS 16
240,490,MacBook,macOS Ventura
241,491,iPhone,iOS 17
242,492,Celular,Android 13
242,493,Celular,Android 14
243,494,iPhone,iOS 17
243,495,Notebook,Windows 10
243,496,Servidor,Ubuntu 20.04
244,497,Notebook,Windows 11
244,498,Servidor,Ubuntu 22.04
244,499,MacBook,macOS Monterey
245,500,Notebook,Windows 11
246,501,Notebook,Windows 10
247,502,Notebook,Windows 10
248,503,Notebook,Windows 11
248,504,Celular,Android 13
248,505,iPhone,iOS 17
249,506,Notebook,Windows 10
250,507,MacBook,macOS Ventura
250,508,MacBook,macOS Monterey
250,509,Servidor,Ubuntu 20.04
251,510,MacBook,macOS Monterey
251,511,MacBook,macOS Ventura
252,512,Servidor,Ubuntu 22.04
252,513,Celular,Android 14
253,514,iPhone,iOS 16
253,515,iPhone,iOS 16
254,516,Servidor,Ubuntu 22.04
254,517,Notebook,Windows 11
254,518,Servidor,Ubuntu 20.04
255,519,iPhone,iOS 17
255,520,Celular,Android 14
255,521,Celular,Android 13
256,522,Servidor,Ubuntu 22.04
256,523,Celular,Android 14
257,524,Celular,Android 14
258,525,Notebook,Windows 10
258,526,MacBook,macOS Monterey
259,527,MacBook,macOS Ventura
259,528,Notebook,Windows 10
259,529,Celular,Android 14
260,530,Servidor,Ubuntu 22.04
260,531,iPhone,iOS 17
260,532,Notebook,Windows 11
261,533,Notebook,Windows 11
261,534,Celular,Android 13
261,535,Celular,Android 14
262,536,MacBook,macOS Ventura
262,537,Celular,Android 13
262,538,iPhone,iOS 16
263,539,Servidor,Ubuntu 20.04
263,540,MacBook,macOS Ventura
263,541,iPhone,iOS 16
264,542,Notebook,Windows 11
265,543,MacBook,macOS Monterey
265,544,Notebook,Windows 11
266,545,Celular,Android 14
266,546,Notebook,Windows 11
267,547,Celular,Android 14
267,548,Servidor,Ubuntu 22.04
267,549,Notebook,Windows 10
268,550,Celular,Android 14
268,551,MacBook,macOS Monterey
268,552,Servidor,Ubuntu 22.04
269,553,MacBook,macOS Monterey
269,554,MacBook,macOS Monterey
270,555,Celular,Android 14
270,556,Notebook,Windows 11
271,557,Notebook,Windows 11
272,558,iPhone,iOS 16
273,559,Celular,Android 14
273,560,Notebook,Windows 10
273,561,Celular,Android 14
274,562,MacBook,macOS Ventura
274,563,Notebook,Windows 11
274,564,Celular,Android 14
275,565,Celular,Android 13
276,566,iPhone,iOS 17
276,567,Celular,Android 14
277,568,iPhone,iOS 17
277,569,Celular,Android 13
277,570,MacBook,macOS Ventura
278,571,MacBook,macOS Monterey
278,572,Servidor,Ubuntu 20.04
278,573,MacBook,macOS Monterey
279,574,iPhone,iOS 17
279,575,iPhone,iOS 16
280,576,Notebook,Windows 10
281,577,Servidor,Ubuntu 20.04
281,578,MacBook,macOS Monterey
282,579,MacBook,macOS Ventura
282,580,Celular,Android 13
282,581,MacBook,macOS Monterey
283,582,MacBook,macOS Monterey
283,583,Servidor,Ubuntu 20.04
283,584,Servidor,Ubuntu 22.04
284,585,iPhone,iOS 16
284,586,Servidor,Ubuntu 22.04
285,587,MacBook,macOS Monterey
286,588,iPhone,iOS 16
286,589,MacBook,macOS Monterey
286,590,MacBook,macOS Monterey
287,591,iPhone,iOS 17
288,592,iPhone,iOS 16
288,593,Notebook,Windows 10
289,594,Servidor,Ubuntu 20.04
290,595,Notebook,Windows 10
290,596,Notebook,Windows 10
291,597,Notebook,Windows 11
291,598,iPhone,iOS 17
292,599,MacBook,macOS Ventura
292,600,MacBook,macOS Ventura
292,601,Celular,Android 13
293,602,MacBook,macOS Monterey
293,603,Notebook,Windows 11
293,604,iPhone,iOS 17
294,605,MacBook,macOS Ventura
294,606,Servidor,Ubuntu 22.04
294,607,iPhone,iOS 16
295,608,Servidor,Ubuntu 20.04
295,609,iPhone,iOS 17
295,610,MacBook,macOS Monterey
296,611,Notebook,Windows 10
297,612,Celular,Android 14
297,613,Celular,Android 14
298,614,MacBook,macOS Ventura
299,615,Celular,Android 13
299,616,Notebook,Windows 10
299,617,iPhone,iOS 16
300,618,iPhone,iOS 16
300,619,Celular,Android 13
301,620,iPhone,iOS 17
301,621,Celular,Android 14
301,622,Servidor,Ubuntu 20.04
302,623,iPhone,iOS 16
303,624,iPhone,iOS 17
303,625,Celular,Android 13
303,626,iPhone,iOS 16
304,627,iPhone,iOS 16
305,628,MacBook,macOS Monterey
306,629,Celular,Android 14
306,630,iPhone,iOS 17
306,631,Notebook,Windows 10
307,632,MacBook,macOS Ventura
308,633,Servidor,Ubuntu 22.04
308,634,iPhone,iOS 17
308,635,Servidor,Ubuntu 22.04
309,636,Notebook,Windows 11
309,637,iPhone,iOS 17
309,638,iPhone,iOS 16
310,639,Notebook,Windows 10
310,640,iPhone,iOS 16
310,641,Notebook,Windows 10
311,642,MacBook,macOS Ventura
312,643,Notebook,Windows 10
313,644,iPhone,iOS 17
313,645,iPhone,iOS 16
313,646,iPhone,iOS 17
314,647,Celular,Android 14
314,648,iPhone,iOS 17
314,649,Servidor,Ubuntu 22.04
315,650,MacBook,macOS Monterey
315,651,Servidor,Ubuntu 22.04
316,652,MacBook,macOS Ventura
317,653,iPhone,iOS 16
317,654,Servidor,Ubuntu 22.04
317,655,Celular,Android 14
318,656,Servidor,Ubuntu 22.04
319,657,MacBook,macOS Ventura
319,658,MacBook,macOS Monterey
319,659,Servidor,Ubuntu 20.04
320,660,MacBook,macOS Monterey
320,661,iPhone,iOS 16
321,662,iPhone,iOS 17
321,663,Celular,Android 14
322,664,Servidor,Ubuntu 20.04
322,665,Celular,Android 13
322,666,MacBook,macOS Ventura
323,667,Servidor,Ubuntu 22.04
323,668,MacBook,macOS Monterey
323,669,Servidor,Ubuntu 22.04
324,670,Servidor,Ubuntu 22.04
324,671,Notebook,Windows 11
325,672,Celular,Android 13
325,673,Notebook,Windows 10
326,674,Notebook,Windows 10
326,675,Celular,Android 13
326,676,MacBook,macOS Monterey
327,677,Celular,Android 14
328,678,MacBook,macOS Ventura
328,679,iPhone,iOS 16
328,680,Servidor,Ubuntu 20.04
329,681,iPhone,iOS 16
329,682,Celular,Android 13
330,683,Notebook,Windows 11
330,684,MacBook,macOS Ventura
330,685,iPhone,iOS 16
331,686,MacBook,macOS Monterey
331,687,Celular,Android 14
332,688,MacBook,macOS Monterey
333,689,iPhone,iOS 17
333,690,Celular,Android 13
333,691,Notebook,Windows 10
334,692,Notebook,Windows 10
334,693,iPhone,iOS 16
334,694,Notebook,Windows 11
335,695,MacBook,macOS Ventura
335,696,Servidor,Ubuntu 22.04
335,697,Notebook,Windows 10
336,698,Celular,Android 14
336,699,iPhone,iOS 16
336,700,MacBook,macOS Monterey
337,701,Servidor,Ubuntu 22.04
337,702,Notebook,Windows 10
338,703,Celular,Android 13
339,704,Celular,Android 13
339,705,Servidor,Ubuntu 20.04
339,706,Celular,Android 13
340,707,iPhone,iOS 17
340,708,iPhone,iOS 17
341,709,Servidor,Ubuntu 22.04
341,710,Notebook,Windows 10
342,711,MacBook,macOS Monterey
342,712,MacBook,macOS Monterey
343,713,Celular,Android 14
343,714,MacBook,macOS Ventura
343,715,Notebook,Windows 10
344,716,MacBook,macOS Ventura
344,717,Notebook,Windows 10
345,718,Celular,Android 13
346,719,iPhone,iOS 17
347,720,Servidor,Ubuntu 22.04
347,721,Servidor,Ubuntu 22.04
348,722,Servidor,Ubuntu 22.04
348,723,Celular,Android 14
348,724,iPhone,iOS 16
349,725,iPhone,iOS 16
349,726,iPhone,iOS 16
349,727,MacBook,macOS Ventura
350,728,Notebook,Windows 11
350,729,Servidor,Ubuntu 20.04
350,730,iPhone,iOS 16
351,731,Servidor,Ubuntu 22.04
352,732,Celular,Android 13
352,733,iPhone,iOS 16
352,734,Notebook,Windows 10
353,735,Notebook,Windows 10
353,736,iPhone,iOS 16
353,737,MacBook,macOS Ventura
354,738,iPhone,iOS 16
354,739,iPhone,iOS 17
354,740,Celular,Android 13
355,741,Celular,Android 14
355,742,iPhone,iOS 16
355,743,Celular,Android 13
356,744,Notebook,Windows 10
356,745,MacBook,macOS Ventura
357,746,Celular,Android 14
358,747,iPhone,iOS 17
359,748,iPhone,iOS 17
359,749,iPhone,iOS 17
360,750,Celular,Android 13
360,751,Servidor,Ubuntu 20.04
361,752,Celular,Android 13
361,753,Servidor,Ubuntu 20.04
361,754,Celular,Android 13
362,755,Celular,Android 13
362,756,Servidor,Ubuntu 22.04
362,757,Celular,Android 14
363,758,MacBook,macOS Monterey
364,759,MacBook,macOS Monterey
365,760,MacBook,macOS Monterey
366,761,iPhone,iOS 16
366,762,iPhone,iOS 16
366,763,Notebook,Windows 10
367,764,Notebook,Windows 11
368,765,Notebook,Windows 11
368,766,iPhone,iOS 17
368,767,Servidor,Ubuntu 22.04
369,768,MacBook,macOS Monterey
369,769,Servidor,Ubuntu 20.04
370,770,MacBook,macOS Ventura
370,771,MacBook,macOS Monterey
370,772,Notebook,Windows 11
371,773,Servidor,Ubuntu 22.04
371,774,Servidor,Ubuntu 22.04
371,775,Celular,Android 13
372,776,Celular,Android 13
372,777,MacBook,macOS Ventura
373,778,MacBook,macOS Ventura
373,779,iPhone,iOS 17
373,780,Notebook,Windows 10
374,781,Servidor,Ubuntu 20.04
375,782,Celular,Android 14
375,783,Celular,Android 14
375,784,Celular,Android 13
376,785,iPhone,iOS 16
376,786,iPhone,iOS 16
376,787,Servidor,Ubuntu 20.04
377,788,Servidor,Ubuntu 22.04
377,789,Notebook,Windows 11
377,790,Servidor,Ubuntu 22.04
378,791,Servidor,Ubuntu 22.04
378,792,Notebook,Windows 11
379,793,MacBook,macOS Monterey
380,794,Celular,Android 14
380,795,Notebook,Windows 11
380,796,Notebook,Windows 10
381,797,iPhone,iOS 17
382,798,Notebook,Windows 10
382,799,iPhone,iOS 17
382,800,Notebook,Windows 10
383,801,iPhone,iOS 17
383,802,MacBook,macOS Monterey
383,803,Notebook,Windows 11
384,804,MacBook,macOS Ventura
385,805,MacBook,macOS Monterey
385,806,iPhone,iOS 16
386,807,Celular,Android 14
386,808,iPhone,iOS 17
386,809,Servidor,Ubuntu 20.04
387,810,iPhone,iOS 17
388,811,Servidor,Ubuntu 20.04
388,812,MacBook,macOS Ventura
388,813,MacBook,macOS Ventura
389,814,iPhone,iOS 17
389,815,Servidor,Ubuntu 22.04
390,816,iPhone,iOS 16
390,817,Celular,Android 13
391,818,MacBook,macOS Monterey
392,819,Servidor,Ubuntu 20.04
392,820,MacBook,macOS Ventura
393,821,iPhone,iOS 16
393,822,iPhone,iOS 16
394,823,Servidor,Ubuntu 22.04
394,824,Celular,Android 14
394,825,Notebook,Windows 10
395,826,Servidor,Ubuntu 20.04
396,827,iPhone,iOS 16
396,828,iPhone,iOS 16
396,829,MacBook,macOS Ventura
397,830,Notebook,Windows 11
398,831,iPhone,iOS 17
398,832,iPhone,iOS 17
398,833,MacBook,macOS Monterey
399,834,Servidor,Ubuntu 20.04
400,835,Celular,Android 14
401,836,Notebook,Windows 11
401,837,MacBook,macOS Ventura
401,838,Celular,Android 13
402,839,Servidor,Ubuntu 20.04
402,840,Celular,Android 13
403,841,Celular,Android 13
403,842,iPhone,iOS 17
404,843,Notebook,Windows 10
404,844,Servidor,Ubuntu 22.04
404,845,Celular,Android 13
405,846,MacBook,macOS Monterey
405,847,iPhone,iOS 17
405,848,Servidor,Ubuntu 22.04
406,849,iPhone,iOS 16
406,850,Notebook,Windows 11
406,851,Notebook,Windows 10
407,852,Servidor,Ubuntu 20.04
408,853,Notebook,Windows 10
408,854,Celular,Android 13
408,855,Servidor,Ubuntu 22.04
409,856,Celular,Android 13
410,857,Notebook,Windows 11
410,858,Notebook,Windows 11
411,859,MacBook,macOS Monterey
412,860,Notebook,Windows 10
413,861,Notebook,Windows 11
413,862,MacBook,macOS Ventura
414,863,MacBook,macOS Ventura
415,864,Servidor,Ubuntu 20.04
415,865,Servidor,Ubuntu 22.04
416,866,Celular,Android 14
417,867,Celular,Android 13
417,868,Celular,Android 14
417,869,iPhone,iOS 16
418,870,MacBook,macOS Ventura
418,871,MacBook,macOS Ventura
418,872,MacBook,macOS Ventura
419,873,Notebook,Windows 11
