id_usuario,id_incidente,descricao,duracao,data_e_hora,status
13,34,Malware Detection,2900,2023-06-19 03:57:55,não solucionado
13,35,Phishing,938,2024-04-15 09:48:48,solucionado
13,36,Malware Detection,129,2024-08-24 10:56:07,solucionado
13,37,Ransomware,291,2025-03-17 16:22:08,não solucionado
14,38,Data Breach,387,2023-05-07 18:48:45,solucionado
14,39,Malware Detection,2700,2025-04-16 13:21:05,não solucionado
14,40,SQL Injection,1452,2024-11-21 05:38:47,não solucionado
14,41,SQL Injection,1684,2023-10-27 18:25:45,solucionado
15,42,Malware Detection,1019,2023-09-07 15:36:57,solucionado
15,43,Data Breach,780,2023-11-11 01:50:29,não solucionado
15,44,Zero-Day Exploit,575,2023-05-05 22:38:22,solucionado
16,45,Phishing,383,2023-07-03 02:44:14,solucionado
17,46,Phishing,1600,2023-05-12 13:22:33,não solucionado
17,47,Account Takeover,3212,2023-12-11 05:47:52,solucionado
17,48,Zero-Day Exploit,1169,2024-12-13 04:31:34,não solucionado
17,49,SQL Injection,2854,2023-06-12 22:45:02,não solucionado
18,50,Phishing,3064,2023-11-19 05:00:31,solucionado
18,51,Ransomware,235,2023-08-30 05:38:45,solucionado
18,52,Phishing,2393,2025-01-30 12:19:57,não solucionado
18,53,Zero-Day Exploit,2060,2024-07-23 23:24:18,não solucionado
18,54,DDoS Attack,233,2024-08-09 14:36:56,solucionado
19,55,Malware Detection,2334,2024-01-20 18:56:36,não solucionado
19,56,Data Breach,2372,2025-04-24 15:31:53,não solucionado
19,57,Phishing,2537,2023-11-24 22:19:33,solucionado
19,58,Malware Detection,1718,2025-01-15 18:19:10,solucionado
20,59,DDoS Attack,2752,2023-09-22 09:04:13,solucionado
20,60,Account Takeover,1873,2024-08-22 13:09:02,solucionado
20,61,Ransomware,3080,2024-12-01 18:29:31,não solucionado
20,62,Malware Detection,39,2024-11-20 20:52:29,solucionado
21,63,Account Takeover,647,2024-11-08 04:48:17,solucionado
21,64,Zero-Day Exploit,3416,2024-01-12 21:43:44,não solucionado
21,65,Account Takeover,2506,2024-01-21 20:51:36,não solucionado
22,66,Account Takeover,2478,2025-02-19 15:14:22,não solucionado
22,67,Data Breach,2940,2023-05-06 17:21:15,não solucionado
22,68,Ransomware,834,2024-05-29 08:34:57,solucionado
23,69,Phishing,15,2025-04-17 13:16:47,solucionado
23,70,Ransomware,3159,2024-04-12 10:13:58,solucionado
23,71,DDoS Attack,2610,2024-01-21 12:18:44,solucionado
24,72,Phishing,3419,2024-12-08 23:20:10,não solucionado
24,73,Ransomware,2386,2024-09-10 12:37:17,solucionado
24,74,DDoS Attack,1761,2023-10-10 22:39:47,solucionado
24,75,DDoS Attack,172,2023-09-20 18:00:08,não solucionado
24,76,Account Takeover,1494,2023-08-12 16:59:39,solucionado
25,77,SQL Injection,2543,2024-06-07 22:30:00,solucionado
25,78,DDoS Attack,970,2025-01-08 16:29:05,solucionado
25,79,DDoS Attack,3277,2024-10-09 08:13:00,solucionado
26,80,Data Breach,1093,2024-11-22 05:22:21,solucionado
26,81,DDoS Attack,3226,2023-06-18 07:03:41,não solucionado
26,82,Malware Detection,1567,2023-11-29 08:08:38,não solucionado
26,83,Phishing,3517,2025-04-04 10:26:44,não solucionado
27,84,Data Breach,97,2024-02-08 08:49:10,solucionado
27,85,Data Breach,1633,2024-06-01 09:54:20,não solucionado
28,86,Ransomware,114,2024-05-01 02:55:13,solucionado
28,87,Malware Detection,3593,2024-07-22 10:54:03,não solucionado
28,88,Account Takeover,732,2024-10-05 16:27:29,não solucionado
28,89,Account Takeover,157,2024-03-28 14:31:12,solucionado
28,90,Malware Detection,2444,2024-10-03 09:04:25,solucionado
29,91,Data Breach,1492,2024-03-29 05:47:27,não solucionado
30,92,SQL Injection,2856,2023-10-29 20:25:17,não solucionado
30,93,Account Takeover,2271,2024-09-22 17:33:58,solucionado
30,94,DDoS Attack,786,2024-06-30 02:36:22,solucionado
31,95,Account Takeover,861,2024-08-11 09:14:03,solucionado
31,96,SQL Injection,3219,2025-01-26 19:59:34,solucionado
31,97,Ransomware,1905,2024-06-20 08:51:53,não solucionado
32,98,Data Breach,2756,2025-02-16 17:22:28,solucionado
33,99,Zero-Day Exploit,2504,2023-07-26 04:57:57,solucionado
33,100,Malware Detection,1866,2024-09-21 05:56:49,não solucionado
34,101,SQL Injection,897,2023-11-28 20:43:33,não solucionado
35,102,SQL Injection,3403,2024-06-28 16:30:11,solucionado
35,103,Zero-Day Exploit,652,2024-02-29 21:20:05,solucionado
35,104,Zero-Day Exploit,1844,2024-11-23 22:00:03,solucionado
35,105,Account Takeover,3080,2024-04-14 03:05:04,não solucionado
36,106,Data Breach,1113,2023-07-21 05:40:17,solucionado
36,107,Ransomware,1310,2023-09-27 00:57:08,solucionado
36,108,Malware Detection,567,2024-11-07 12:53:55,solucionado
37,109,Zero-Day Exploit,1704,2024-08-08 20:01:56,solucionado
37,110,Phishing,848,2024-02-17 13:38:12,solucionado
37,111,SQL Injection,1596,2025-03-12 06:30:45,não solucionado
38,112,Data Breach,2000,2023-07-14 13:29:48,solucionado
38,113,Data Breach,1118,2023-07-14 11:54:00,solucionado
38,114,SQL Injection,1990,2023-06-25 19:00:11,não solucionado
38,115,Phishing,1593,2025-01-24 14:56:17,solucionado
39,116,SQL Injection,556,2023-06-01 04:00:56,solucionado
40,117,Zero-Day Exploit,1339,2023-05-17 13:32:29,solucionado
40,118,Ransomware,3118,2024-01-09 07:17:48,não solucionado
41,119,Data Breach,2663,2023-05-24 14:14:42,solucionado
41,120,Malware Detection,3200,2023-09-17 15:46:57,não solucionado
41,121,Phishing,3090,2025-03-17 20:08:53,não solucionado
42,122,DDoS Attack,1940,2023-05-28 03:34:02,solucionado
42,123,Malware Detection,2311,2025-04-08 15:07:43,não solucionado
43,124,Phishing,1278,2024-09-15 14:15:09,solucionado
43,125,SQL Injection,1625,2025-01-27 02:48:54,solucionado
43,126,Data Breach,312,2024-12-29 15:46:06,solucionado
43,127,Data Breach,418,2024-12-26 16:40:23,não solucionado
43,128,Account Takeover,3483,2023-12-17 11:54:50,solucionado
44,129,Malware Detection,2073,2024-10-10 23:58:30,solucionado
44,130,Ransomware,52,2024-12-28 23:32:24,solucionado
44,131,SQL Injection,3369,2023-07-17 06:09:19,não solucionado
45,132,Account Takeover,2523,2023-09-24 02:01:27,não solucionado
45,133,Zero-Day Exploit,1905,2024-08-12 02:48:23,não solucionado
45,134,SQL Injection,3383,2024-07-16 12:00:14,não solucionado
45,135,Account Takeover,1321,2023-08-08 00:25:02,solucionado
45,136,Data Breach,3403,2024-05-30 01:46:36,solucionado
46,137,Phishing,2025,2024-06-12 02:01:10,solucionado
46,138,Ransomware,745,2023-05-06 10:31:14,não solucionado
46,139,Zero-Day Exploit,869,2023-12-08 16:05:54,não solucionado
47,140,Data Breach,2950,2025-02-01 19:11:48,solucionado
48,141,Data Breach,1255,2024-09-20 23:49:27,solucionado
48,142,Ransomware,1939,2025-03-20 01:22:21,não solucionado
48,143,Ransomware,1743,2024-08-28 06:26:00,não solucionado
48,144,Ransomware,1442,2024-11-29 21:30:46,solucionado
49,145,DDoS Attack,785,2025-04-24 17:45:53,solucionado
49,146,Data Breach,3026,2024-07-01 17:17:22,não solucionado
49,147,Zero-Day Exploit,1133,2024-08-09 00:58:13,solucionado
49,148,Account Takeover,412,2024-07-11 01:55:19,solucionado
49,149,Data Breach,1214,2023-08-22 17:04:18,solucionado
50,150,Phishing,224,2023-10-31 00:51:37,solucionado
50,151,Account Takeover,2857,2024-03-26 02:12:04,solucionado
50,152,DDoS Attack,2613,2024-02-24 16:30:51,solucionado
51,153,Zero-Day Exploit,1396,2025-03-15 02:26:49,solucionado
51,154,DDoS Attack,211,2024-09-09 07:29:14,solucionado
51,155,Account Takeover,3530,2024-08-02 02:57:39,não solucionado
51,156,Zero-Day Exploit,468,2023-09-30 20:21:32,solucionado
52,157,Data Breach,486,2024-09-18 07:32:39,solucionado
53,158,Phishing,2498,2023-08-12 10:42:49,não solucionado
53,159,Malware Detection,3125,2024-09-04 22:05:29,não solucionado
53,160,Data Breach,2563,2025-01-04 00:56:44,não solucionado
53,161,Data Breach,1084,2023-12-10 13:22:19,solucionado
53,162,Malware Detection,644,2025-03-03 22:04:23,solucionado
54,163,Account Takeover,2880,2024-02-29 11:17:01,solucionado
54,164,Zero-Day Exploit,292,2024-08-20 12:07:36,solucionado
54,165,Data Breach,1084,2023-12-11 00:38:23,não solucionado
55,166,DDoS Attack,293,2024-05-27 23:36:33,solucionado
55,167,Phishing,680,2024-06-04 14:36:44,solucionado
55,168,Account Takeover,2438,2024-11-21 17:30:50,não solucionado
56,169,Account Takeover,2050,2023-07-15 18:53:14,não solucionado
56,170,Zero-Day Exploit,1794,2023-11-13 19:24:25,solucionado
56,171,Malware Detection,2450,2024-06-06 03:22:48,solucionado
56,172,Phishing,1770,2024-08-26 06:02:28,solucionado
57,173,Phishing,3126,2023-08-21 12:24:03,não solucionado
57,174,DDoS Attack,1928,2023-05-14 21:39:08,não solucionado
57,175,Zero-Day Exploit,1140,2025-04-10 02:12:02,não solucionado
58,176,Malware Detection,3514,2023-09-14 04:23:43,solucionado
58,177,DDoS Attack,1351,2024-09-28 16:19:44,solucionado
58,178,SQL Injection,2842,2024-06-17 06:28:39,não solucionado
59,179,Phishing,2694,2023-06-01 17:49:49,não solucionado
59,180,Zero-Day Exploit,1693,2024-11-05 00:58:51,não solucionado
59,181,Phishing,769,2023-10-18 21:03:57,solucionado
59,182,Ransomware,2551,2023-06-10 23:15:41,solucionado
60,183,Zero-Day Exploit,498,2024-12-15 18:48:39,não solucionado
60,184,Phishing,2581,2024-08-06 06:17:36,solucionado
60,185,Data Breach,2908,2024-05-18 14:08:06,solucionado
60,186,DDoS Attack,1273,2025-02-12 13:46:33,solucionado
61,187,Account Takeover,2085,2023-11-18 03:30:13,não solucionado
61,188,Account Takeover,1702,2024-09-20 22:22:07,solucionado
61,189,Zero-Day Exploit,1935,2023-09-25 03:49:05,não solucionado
61,190,Data Breach,1871,2025-03-14 20:02:57,não solucionado
62,191,Account Takeover,3165,2023-06-26 00:31:30,solucionado
63,192,Zero-Day Exploit,2207,2023-06-12 22:32:25,não solucionado
63,193,Zero-Day Exploit,1414,2024-09-20 23:54:28,solucionado
64,194,Phishing,1304,2024-09-11 07:09:48,solucionado
64,195,Zero-Day Exploit,2889,2025-02-15 22:35:25,solucionado
64,196,SQL Injection,1582,2024-06-02 02:36:55,solucionado
64,197,DDoS Attack,2029,2025-03-23 03:40:02,não solucionado
65,198,DDoS Attack,307,2023-12-27 03:50:15,não solucionado
65,199,Zero-Day Exploit,3202,2023-10-19 04:25:53,não solucionado
65,200,Account Takeover,1387,2023-09-27 11:06:18,solucionado
65,201,SQL Injection,2662,2025-04-19 21:14:12,não solucionado
66,202,Data Breach,3059,2025-03-30 01:25:29,não solucionado
66,203,Malware Detection,1778,2023-12-10 06:28:59,solucionado
66,204,Malware Detection,3115,2023-08-11 16:20:48,não solucionado
67,205,Phishing,1202,2024-10-13 22:49:03,solucionado
67,206,Ransomware,1536,2023-06-04 20:05:12,solucionado
67,207,SQL Injection,597,2023-12-10 22:31:18,solucionado
68,208,SQL Injection,2539,2023-09-18 05:25:35,solucionado
68,209,Data Breach,2039,2024-12-31 20:02:55,não solucionado
68,210,DDoS Attack,952,2024-08-08 18:10:26,solucionado
68,211,Zero-Day Exploit,2613,2024-04-03 17:37:01,solucionado
68,212,Account Takeover,1883,2024-07-30 14:46:53,não solucionado
69,213,Zero-Day Exploit,1416,2024-09-11 02:33:27,solucionado
70,214,Data Breach,1563,2024-06-07 01:57:50,solucionado
71,215,Zero-Day Exploit,3412,2025-01-24 10:06:50,não solucionado
71,216,Account Takeover,3178,2023-11-21 08:05:49,solucionado
71,217,Data Breach,2487,2024-09-22 10:54:26,solucionado
71,218,Ransomware,898,2024-12-07 16:11:20,solucionado
71,219,Data Breach,2544,2024-07-05 19:07:07,não solucionado
72,220,Malware Detection,1209,2025-01-30 15:39:02,solucionado
72,221,Ransomware,3062,2025-02-27 04:17:13,não solucionado
73,222,Account Takeover,3402,2024-07-08 23:41:55,solucionado
73,223,DDoS Attack,1053,2023-08-10 15:10:47,solucionado
73,224,Zero-Day Exploit,3304,2024-05-16 22:15:47,solucionado
73,225,Account Takeover,3058,2023-05-15 02:04:01,não solucionado
73,226,Ransomware,3295,2023-08-05 16:22:54,solucionado
74,227,Ransomware,370,2023-05-03 09:11:36,solucionado
74,228,SQL Injection,58,2023-10-02 17:01:13,não solucionado
74,229,Account Takeover,2198,2024-02-22 12:49:10,não solucionado
74,230,Malware Detection,1863,2024-01-28 06:23:51,não solucionado
75,231,Data Breach,2653,2024-07-25 23:04:46,solucionado
75,232,Malware Detection,2603,2023-09-02 19:53:07,solucionado
75,233,Zero-Day Exploit,2872,2024-11-05 17:43:52,não solucionado
75,234,Account Takeover,2660,2024-06-02 10:31:09,não solucionado
75,235,SQL Injection,478,2024-08-29 21:38:31,solucionado
76,236,Data Breach,2202,2024-02-13 03:43:08,solucionado
77,237,Malware Detection,3415,2025-04-18 10:47:46,não solucionado
77,238,Zero-Day Exploit,2522,2023-11-16 22:16:10,solucionado
77,239,SQL Injection,1146,2024-01-30 03:26:29,solucionado
77,240,Phishing,2828,2025-02-14 00:07:13,não solucionado
78,241,Ransomware,249,2025-04-02 22:04:45,solucionado
78,242,SQL Injection,1131,2024-08-24 10:26:52,solucionado
78,243,Data Breach,501,2023-08-20 22:07:30,solucionado
78,244,Zero-Day Exploit,376,2024-06-13 15:50:49,solucionado
78,245,Data Breach,2629,2024-08-30 09:59:19,não solucionado
79,246,Data Breach,3331,2023-11-13 20:55:07,solucionado
79,247,Data Breach,1346,2025-01-27 06:56:49,solucionado
79,248,DDoS Attack,3231,2023-11-15 14:20:40,não solucionado
79,249,Phishing,1136,2023-08-29 08:59:56,solucionado
79,250,DDoS Attack,533,2024-09-20 15:26:38,solucionado
80,251,Data Breach,2412,2024-11-12 00:18:05,solucionado
80,252,Ransomware,65,2024-05-09 00:57:36,solucionado
80,253,DDoS Attack,1087,2024-03-19 01:13:33,solucionado
81,254,Data Breach,2520,2025-02-15 06:58:14,não solucionado
81,255,Phishing,2979,2023-07-23 12:46:40,não solucionado
81,256,Account Takeover,1877,2024-02-11 14:34:37,não solucionado
81,257,Phishing,250,2024-04-16 00:12:06,solucionado
82,258,DDoS Attack,270,2024-12-22 14:10:04,solucionado
82,259,DDoS Attack,1127,2023-08-04 04:01:01,solucionado
82,260,Ransomware,1561,2024-02-18 05:47:15,solucionado
82,261,Account Takeover,1859,2023-05-01 08:46:34,solucionado
82,262,SQL Injection,407,2024-08-28 17:04:44,solucionado
83,263,SQL Injection,2989,2024-10-12 19:38:39,solucionado
83,264,Malware Detection,1281,2025-03-07 06:40:06,solucionado
83,265,SQL Injection,1281,2023-07-31 18:49:33,solucionado
83,266,Account Takeover,1534,2023-08-10 09:49:24,solucionado
84,267,DDoS Attack,2279,2023-10-17 19:17:54,não solucionado
84,268,Phishing,2403,2025-03-24 13:54:55,solucionado
84,269,Ransomware,2745,2024-02-28 06:07:10,não solucionado
85,270,Malware Detection,2368,2025-03-26 12:20:17,solucionado
85,271,Data Breach,634,2024-08-10 22:56:12,não solucionado
85,272,Zero-Day Exploit,919,2024-09-18 07:10:57,solucionado
86,273,Account Takeover,119,2024-07-10 13:11:19,não solucionado
86,274,DDoS Attack,1120,2025-04-06 12:44:12,solucionado
86,275,Account Takeover,1392,2025-03-11 18:26:18,solucionado
86,276,Ransomware,26,2023-05-22 14:34:59,solucionado
86,277,DDoS Attack,3563,2024-10-15 13:14:22,não solucionado
87,278,DDoS Attack,1516,2024-10-23 06:12:00,não solucionado
87,279,Account Takeover,2956,2024-12-07 13:47:41,solucionado
87,280,Ransomware,3182,2025-04-20 05:20:07,solucionado
88,281,Account Takeover,1815,2024-03-29 14:22:39,não solucionado
89,282,Zero-Day Exploit,2159,2024-08-18 00:29:02,não solucionado
89,283,Account Takeover,187,2023-06-16 06:33:27,solucionado
89,284,Data Breach,1619,2025-04-04 18:41:07,não solucionado
90,285,Account Takeover,1344,2023-09-26 07:17:03,não solucionado
90,286,Malware Detection,32,2025-04-12 06:01:03,solucionado
90,287,Zero-Day Exploit,3060,2025-04-12 00:11:36,não solucionado
91,288,Ransomware,296,2024-10-27 23:30:32,não solucionado
91,289,SQL Injection,3530,2023-08-29 23:06:24,não solucionado
91,290,Phishing,1787,2023-07-09 09:33:55,não solucionado
91,291,Phishing,1884,2025-04-12 01:44:11,solucionado
91,292,Malware Detection,3532,2024-07-04 22:44:38,não solucionado
92,293,Ransomware,704,2024-06-01 02:17:50,solucionado
93,294,Malware Detection,1622,2024-08-20 01:20:24,não solucionado
93,295,Account Takeover,3055,2025-03-01 21:46:23,não solucionado
93,296,Ransomware,908,2024-05-10 10:14:53,solucionado
93,297,Ransomware,3192,2023-12-26 08:52:23,não solucionado
93,298,DDoS Attack,313,2023-05-07 11:31:58,solucionado
94,299,Data Breach,711,2024-07-25 22:15:44,solucionado
94,300,DDoS Attack,3114,2024-05-04 15:51:43,solucionado
94,301,Malware Detection,726,2024-02-27 09:42:49,solucionado
95,302,Account Takeover,2423,2023-05-16 15:17:10,não solucionado
95,303,Phishing,1442,2023-09-17 09:06:35,solucionado
95,304,Malware Detection,1272,2023-11-26 05:40:16,solucionado
96,305,Malware Detection,2520,2024-09-19 14:38:48,solucionado
97,306,DDoS Attack,254,2024-03-28 02:12:49,não solucionado
97,307,Zero-Day Exploit,424,2024-04-06 05:14:01,solucionado
97,308,Ransomware,2926,2025-01-26 16:42:44,solucionado
97,309,Malware Detection,2067,2024-08-09 03:37:13,solucionado
97,310,DDoS Attack,161,2024-04-20 00:46:31,solucionado
98,311,SQL Injection,3173,2024-05-16 23:18:30,não solucionado
98,312,Ransomware,2781,2024-09-22 00:49:40,solucionado
98,313,Phishing,3233,2024-08-05 10:48:31,solucionado
98,314,Ransomware,270,2024-06-03 01:17:36,solucionado
99,315,Account Takeover,2688,2025-04-09 08:19:12,solucionado
99,316,SQL Injection,529,2023-09-02 11:26:52,não solucionado
99,317,Malware Detection,1269,2023-12-20 02:02:55,solucionado
100,318,Ransomware,1266,2024-11-26 07:38:13,solucionado
101,319,Malware Detection,2080,2023-12-21 02:18:45,não solucionado
101,320,Phishing,2712,2024-02-13 02:37:06,não solucionado
101,321,Ransomware,3590,2024-04-26 00:06:44,não solucionado
102,322,Phishing,1683,2023-05-29 09:04:56,não solucionado
102,323,Ransomware,2771,2025-04-07 13:43:27,solucionado
102,324,Data Breach,1820,2024-05-25 03:55:44,não solucionado
102,325,Account Takeover,3082,2023-09-25 22:31:03,solucionado
103,326,SQL Injection,664,2024-06-10 23:26:35,solucionado
103,327,Data Breach,3282,2024-03-19 20:39:40,solucionado
103,328,DDoS Attack,3576,2023-06-15 00:32:57,não solucionado
103,329,Account Takeover,214,2024-02-11 07:11:07,solucionado
104,330,Malware Detection,910,2023-05-01 03:03:20,solucionado
104,331,Zero-Day Exploit,1432,2025-04-05 02:04:14,não solucionado
104,332,Phishing,1700,2024-06-07 00:17:33,solucionado
104,333,Phishing,1624,2023-05-27 11:46:04,solucionado
105,334,DDoS Attack,564,2024-06-26 02:16:41,não solucionado
105,335,Phishing,1176,2024-12-22 00:58:05,solucionado
105,336,Zero-Day Exploit,2852,2024-07-05 23:58:22,não solucionado
106,337,DDoS Attack,2248,2023-07-07 18:37:25,solucionado
106,338,SQL Injection,456,2024-03-26 03:23:28,não solucionado
107,339,Malware Detection,3428,2024-02-22 17:23:13,solucionado
108,340,SQL Injection,768,2023-11-24 05:25:01,solucionado
108,341,Malware Detection,2145,2023-12-27 10:43:35,não solucionado
109,342,Account Takeover,3062,2023-06-05 06:30:42,não solucionado
109,343,Phishing,1463,2024-09-28 00:01:42,solucionado
109,344,Malware Detection,1413,2024-10-07 18:36:22,solucionado
110,345,Zero-Day Exploit,2588,2023-07-29 00:25:07,não solucionado
110,346,DDoS Attack,3324,2023-10-10 09:52:37,não solucionado
110,347,DDoS Attack,259,2024-11-26 03:15:04,solucionado
110,348,Zero-Day Exploit,152,2023-06-27 01:21:01,solucionado
111,349,SQL Injection,3340,2023-12-26 16:00:19,solucionado
111,350,Zero-Day Exploit,1038,2025-04-28 07:11:28,solucionado
111,351,Phishing,3086,2025-03-18 12:13:52,não solucionado
112,352,SQL Injection,3045,2025-04-23 22:10:30,solucionado
112,353,Zero-Day Exploit,1584,2024-11-09 21:25:33,solucionado
112,354,Ransomware,766,2023-06-11 10:54:38,solucionado
112,355,Zero-Day Exploit,2835,2023-07-22 07:25:46,não solucionado
113,356,Account Takeover,1316,2023-06-02 17:09:51,não solucionado
113,357,Malware Detection,328,2024-01-30 01:27:18,solucionado
113,358,Ransomware,2708,2023-07-18 19:37:42,solucionado
113,359,Account Takeover,1256,2024-07-21 05:52:13,não solucionado
113,360,Zero-Day Exploit,2469,2024-12-22 22:03:09,não solucionado
114,361,Malware Detection,2750,2024-10-23 05:44:53,não solucionado
115,362,Ransomware,1484,2024-09-27 18:38:07,solucionado
115,363,SQL Injection,2324,2025-03-05 21:25:53,não solucionado
116,364,Malware Detection,2351,2025-04-03 21:31:35,não solucionado
116,365,DDoS Attack,2169,2025-04-04 01:27:31,solucionado
116,366,Ransomware,1631,2024-06-20 04:36:24,solucionado
116,367,Ransomware,2661,2024-11-04 13:02:44,solucionado
117,368,SQL Injection,2301,2024-08-22 15:41:37,solucionado
117,369,Malware Detection,1073,2024-02-21 00:11:06,não solucionado
117,370,Account Takeover,2884,2024-01-03 05:27:07,não solucionado
117,371,Zero-Day Exploit,879,2025-02-05 14:52:45,não solucionado
118,372,Malware Detection,3320,2023-11-20 11:18:29,não solucionado
118,373,Ransomware,2736,2024-05-16 15:13:59,não solucionado
118,374,Ransomware,2907,2024-10-12 11:21:09,solucionado
118,375,Malware Detection,2253,2024-10-16 02:45:41,solucionado
119,376,Data Breach,498,2024-11-15 16:19:05,não solucionado
119,377,Data Breach,3245,2024-07-29 23:42:00,não solucionado
119,378,DDoS Attack,970,2024-05-06 16:04:30,solucionado
119,379,Zero-Day Exploit,108,2025-04-27 09:55:20,solucionado
119,380,Ransomware,2270,2023-05-05 04:09:50,não solucionado
120,381,Malware Detection,514,2024-01-05 18:59:12,não solucionado
120,382,Ransomware,2632,2024-05-21 00:51:45,solucionado
120,383,Malware Detection,1844,2024-11-23 21:47:17,não solucionado
120,384,Zero-Day Exploit,2786,2024-12-07 15:50:53,solucionado
121,385,DDoS Attack,664,2024-06-05 01:59:14,solucionado
121,386,Ransomware,2906,2024-01-18 12:34:32,não solucionado
121,387,Data Breach,1418,2023-09-22 18:31:16,solucionado
122,388,Malware Detection,2059,2025-03-11 14:23:25,solucionado
122,389,DDoS Attack,2425,2023-08-21 03:49:03,solucionado
122,390,DDoS Attack,702,2023-11-24 14:28:34,solucionado
122,391,Ransomware,3452,2024-03-10 05:15:35,não solucionado
122,392,Phishing,3381,2023-07-18 05:51:18,não solucionado
123,393,SQL Injection,2532,2024-02-04 22:44:27,não solucionado
123,394,Phishing,2040,2023-07-30 06:37:01,não solucionado
123,395,Account Takeover,2630,2024-11-18 03:26:00,não solucionado
123,396,Account Takeover,1979,2024-09-20 20:32:10,não solucionado
123,397,Data Breach,3297,2024-09-05 07:54:27,solucionado
124,398,Zero-Day Exploit,836,2024-03-03 14:02:47,solucionado
124,399,Ransomware,2485,2023-05-20 14:03:46,não solucionado
124,400,DDoS Attack,1281,2023-10-24 15:36:54,solucionado
124,401,Ransomware,3008,2024-09-18 04:33:15,não solucionado
125,402,Data Breach,1911,2024-01-07 11:00:51,solucionado
125,403,Malware Detection,1096,2025-01-03 18:52:02,solucionado
125,404,Zero-Day Exploit,1016,2023-08-14 04:07:03,solucionado
126,405,DDoS Attack,3333,2024-08-16 11:03:59,solucionado
126,406,Ransomware,2367,2023-08-13 20:59:23,não solucionado
127,407,Account Takeover,2038,2023-11-07 15:02:21,não solucionado
127,408,Phishing,369,2024-09-12 13:30:28,solucionado
127,409,SQL Injection,2071,2023-12-31 10:10:49,solucionado
127,410,Zero-Day Exploit,987,2024-08-28 03:16:23,solucionado
128,411,Phishing,3471,2025-02-22 01:47:54,não solucionado
128,412,Malware Detection,1766,2024-04-02 11:33:17,não solucionado
128,413,DDoS Attack,1084,2023-11-21 13:13:30,solucionado
129,414,Account Takeover,302,2024-05-24 17:42:19,solucionado
129,415,SQL Injection,2066,2023-10-03 22:05:39,não solucionado
129,416,Zero-Day Exploit,3131,2025-02-11 11:51:12,não solucionado
130,417,Data Breach,2468,2025-03-07 01:35:15,não solucionado
130,418,SQL Injection,2049,2023-07-14 06:25:24,solucionado
131,419,Zero-Day Exploit,611,2025-04-15 15:00:25,solucionado
131,420,DDoS Attack,1344,2023-05-08 12:35:10,solucionado
131,421,Ransomware,666,2025-04-28 21:22:49,solucionado
131,422,SQL Injection,2526,2024-01-08 13:25:25,solucionado
132,423,Ransomware,1357,2024-08-31 07:29:03,solucionado
133,424,Zero-Day Exploit,699,2024-05-03 19:03:48,solucionado
134,425,Data Breach,1681,2023-10-06 19:52:53,não solucionado
134,426,Zero-Day Exploit,3576,2023-06-21 05:36:03,não solucionado
134,427,Phishing,2891,2025-02-09 15:47:34,não solucionado
134,428,DDoS Attack,2125,2024-06-08 22:59:00,solucionado
135,429,Ransomware,2238,2024-04-25 19:18:47,solucionado
135,430,Ransomware,2769,2024-02-17 04:19:23,solucionado
135,431,Account Takeover,2499,2023-10-06 21:21:18,solucionado
